,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,Trial,2023_03_26_01_04_30,Trial,1650,3300,3289,1650,1650,0,0.0,0.01,0.22
BE,Trial,2023_03_26_01_04_30,Trial,1639,3300,3289,1650,1639,11,0.67,0.02,68.17
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,Trial,2023_03_26_01_25_43,Trial,1650,3300,3289,1650,1650,0,0.0,0.01,0.22
BE,Trial,2023_03_26_01_25_43,Trial,1639,3300,3289,1650,1639,11,0.67,0.02,68.17
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,825,1650,1650,825,825,0,0.0,-17.05,0.15
BE,825,1650,1650,825,825,0,0.0,-16.94,0.26
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,825,1650,1650,825,825,0,0.0,-10.08,0.18
BE,825,1650,1650,825,825,0,0.0,-10.09,0.18
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,825,1650,1650,825,825,0,0.0,-4.11,0.28
ST,825,1650,1650,825,825,0,0.0,-4.14,0.25
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,4125,8250,8250,4125,4125,0,0.0,-3.49,0.35
ST,4125,8250,8250,4125,4125,0,0.0,-3.49,0.39
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,4125.0,8250,8250,4125.0,4125.0,0.0,0.0,-1.55,0.48
ST,4125.0,8250,8250,4125.0,4125.0,0.0,0.0,-1.56,0.48
,,8250,8250,,,,,,
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,4125,8250,8250,4125,4125,0,0.0,36970.95,36971.44
BE,4125,8250,8250,4125,4125,0,0.0,36970.96,36971.44
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,8250,16500,16500,8250,8250,0,0.0,36971.01,36971.55
BE,8250,16500,16500,8250,8250,0,0.0,36971.01,36971.54
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,8250,16500,16500,8250,8250,0,0.0,36971.01,36971.55
BE,8250,16500,16500,8250,8250,0,0.0,36971.01,36971.54
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,8250,16500,16500,8250,8250,0,0.0,36971.01,36971.55
BE,8250,16500,16500,8250,8250,0,0.0,36971.01,36971.54
,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,8250,16500,16500,8250,8250,0,0.0,36971.01,36971.55
BE,8250,16500,16500,8250,8250,0,0.0,36971.01,36971.54
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_02_57_44,10,8250,16500,16500,8250,8250,0,0.0,36971.28,36971.77
BE,6.6,2023_03_26_02_57_44,10,8250,16500,16500,8250,8250,0,0.0,36971.27,36971.65
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,Trial,2023_03_26_02_58_10,Trial,8250,16500,16500,8250,8250,0,0.0,36971.28,36971.77
BE,Trial,2023_03_26_02_58_10,Trial,8250,16500,16500,8250,8250,0,0.0,36971.27,36971.65
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,Trial,2023_03_26_02_58_52,Trial,8250,16500,16500,8250,8250,0,0.0,36971.28,36971.77
BE,Trial,2023_03_26_02_58_52,Trial,8250,16500,16500,8250,8250,0,0.0,36971.27,36971.65
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_06_05,10,8250,16500,16500,8250,8250,0,0.0,0.06,0.55
BE,6.6,2023_03_26_03_06_05,10,8250,16500,16500,8250,8250,0,0.0,0.06,0.56
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_08_17,10,8250,16500,16500,8250,8250,0,0.0,0.05,0.59
BE,6.6,2023_03_26_03_08_17,10,8250,16500,16500,8250,8250,0,0.0,0.07,0.59
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_14_49,10,3318,6638,6636,3319,3318,1,0.03,0.05,0.5
BE,6.6,2023_03_26_03_14_49,10,3318,6638,6636,3319,3318,1,0.03,0.05,0.49
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_15_28,10,,16500,0,8250,,,,,
BE,6.6,2023_03_26_03_15_28,10,,16500,0,8250,,,,,
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_16_58,10,8250,16500,16500,8250,8250,0,0.0,0.06,100.2
BE,6.6,2023_03_26_03_16_58,10,8250,16500,16500,8250,8250,0,0.0,0.06,100.31
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_18_51,10,,16500,5301,8250,,,,,
BE,6.6,2023_03_26_03_18_51,10,5301.0,16500,5301,8250,5301.0,2949.0,35.75,0.05,2999.93
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_21_15,10,,16500,0,8250,,,,,
BE,6.6,2023_03_26_03_21_15,10,,16500,0,8250,,,,,
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_22_19,10,8250,16500,16500,8250,8250,0,0.0,0.05,1.06
BE,6.6,2023_03_26_03_22_19,10,8250,16500,16500,8250,8250,0,0.0,0.04,0.98
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_23_55,10,8250,16500,16500,8250,8250,0,0.0,0.05,800.16
BE,6.6,2023_03_26_03_23_55,10,8250,16500,16500,8250,8250,0,0.0,0.05,200.07
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_25_40,10,8250,16500,16500,8250,8250,0,0.0,0.07,800.32
BE,6.6,2023_03_26_03_25_40,10,8250,16500,16500,8250,8250,0,0.0,0.06,200.27
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_31_15,10,8250,16500,16500,8250,8250,0,0.0,0.06,800.05
BE,6.6,2023_03_26_03_31_15,10,8250,16500,16500,8250,8250,0,0.0,0.05,200.12
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_32_02,10,8250,16500,16500,8250,8250,0,0.0,0.06,400.33
BE,6.6,2023_03_26_03_32_02,10,8250,16500,16500,8250,8250,0,0.0,0.05,100.27
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_03_52_11,10,8250,16500,16500,8250,8250,0,0.0,0.05,4.26
BE,6.6,2023_03_26_03_52_11,10,8250,16500,16500,8250,8250,0,0.0,0.06,1.39
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,Trial,2023_03_26_03_54_17,Trial,8250,16500,16500,8250,8250,0,0.0,0.05,4.26
BE,Trial,2023_03_26_03_54_17,Trial,8250,16500,16500,8250,8250,0,0.0,0.06,1.39
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,Trial,2023_03_26_04_05_09,Trial,8250,16500,16500,8250,8250,0,0.0,0.05,4.26
BE,Trial,2023_03_26_04_05_09,Trial,8250,16500,16500,8250,8250,0,0.0,0.06,1.39
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_04_05_57,1,825,1650,1650,825,825,0,0.0,0.08,0.22
BE,6.6,2023_03_26_04_05_57,1,825,1650,1650,825,825,0,0.0,0.08,0.2
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,6.6,2023_03_26_04_08_32,1,825,1650,1650,825,825,0,0.0,0.07,0.21
BE,6.6,2023_03_26_04_08_32,1,825,1650,1650,825,825,0,0.0,0.1,0.43
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
